procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10504    151   4612    0    0     0     0  854  626 49  0 50  0  0 2025-09-16 21:52:46
 2  0      0  10504    151   4612    0    0     0    20  769  480 49  0 51  0  0 2025-09-16 21:52:47
 2  0      0  10504    151   4612    0    0     0     0  838  660 48  0 52  0  0 2025-09-16 21:52:48
 3  0      0  10504    151   4612    0    0     0     0  832  598 50  0 50  0  0 2025-09-16 21:52:49
 2  0      0  10503    151   4612    0    0     0     0  893  725 48  1 51  0  0 2025-09-16 21:52:50
 3  0      0  10502    151   4613    0    0     0     0  832  648 48  0 52  0  0 2025-09-16 21:52:51
 3  0      0  10503    151   4613    0    0     0    20  799  637 47  0 53  0  0 2025-09-16 21:52:52
 2  0      0  10502    151   4613    0    0     0     0  785  540 48  1 51  0  0 2025-09-16 21:52:53
 2  0      0  10502    151   4613    0    0     0     0  769  514 48  0 52  0  0 2025-09-16 21:52:54
 3  0      0  10502    151   4613    0    0     0     0  853  674 48  1 51  0  0 2025-09-16 21:52:55
 1  0      0  10502    151   4614    0    0     0     0  855  589 50  0 49  0  0 2025-09-16 21:52:56
